Class,Precision,Recall,F1-score,Support
brush_hair,1.0,1.0,1.0,8.0
cartwheel,1.0,0.75,0.8571428571428571,8.0
catch,1.0,1.0,1.0,8.0
chew,1.0,1.0,1.0,7.0
climb,1.0,0.8571428571428571,0.9230769230769231,7.0
climb_stairs,1.0,0.875,0.9333333333333333,8.0
draw_sword,1.0,1.0,1.0,7.0
eat,0.875,1.0,0.9333333333333333,7.0
fencing,1.0,1.0,1.0,8.0
flic_flac,0.8,1.0,0.8888888888888888,8.0
golf,0.875,1.0,0.9333333333333333,7.0
handstand,1.0,0.75,0.8571428571428571,8.0
kiss,1.0,1.0,1.0,8.0
pick,0.6363636363636364,0.875,0.7368421052631579,8.0
pour,1.0,1.0,1.0,7.0
pullup,1.0,1.0,1.0,8.0
pushup,1.0,1.0,1.0,8.0
ride_bike,1.0,1.0,1.0,7.0
shoot_bow,1.0,1.0,1.0,7.0
shoot_gun,0.875,1.0,0.9333333333333333,7.0
situp,1.0,1.0,1.0,7.0
smile,0.875,1.0,0.9333333333333333,7.0
smoke,1.0,0.75,0.8571428571428571,8.0
throw,1.0,1.0,1.0,8.0
wave,0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0
