Class,Precision,Recall,F1-score,Support
brush_hair,1.0,1.0,1.0,8.0
cartwheel,0.75,0.75,0.75,8.0
catch,1.0,1.0,1.0,8.0
chew,1.0,1.0,1.0,7.0
climb,1.0,1.0,1.0,7.0
climb_stairs,1.0,1.0,1.0,8.0
draw_sword,0.875,1.0,0.9333333333333333,7.0
eat,0.875,1.0,0.9333333333333333,7.0
fencing,1.0,1.0,1.0,8.0
flic_flac,0.7777777777777778,0.875,0.8235294117647058,8.0
golf,1.0,1.0,1.0,7.0
handstand,0.8571428571428571,0.75,0.8,8.0
kiss,1.0,1.0,1.0,8.0
pick,1.0,1.0,1.0,8.0
pour,1.0,1.0,1.0,7.0
pullup,1.0,1.0,1.0,8.0
pushup,1.0,1.0,1.0,8.0
ride_bike,1.0,1.0,1.0,7.0
shoot_bow,1.0,1.0,1.0,7.0
shoot_gun,1.0,1.0,1.0,7.0
situp,1.0,1.0,1.0,7.0
smile,0.875,1.0,0.9333333333333333,7.0
smoke,1.0,0.875,0.9333333333333333,8.0
throw,1.0,1.0,1.0,8.0
wave,0.8,0.5714285714285714,0.6666666666666666,7.0
